state,district_expected,status,matched_file,similarity
Uttar Pradesh,Faizabad,⚠️ close match,Firozabad.csv,0.82
Uttar Pradesh,Jyotiba Phule Nagar,❌ missing district,Kanpur Nagar.csv,0.58
Uttar Pradesh,Mahrajganj,⚠️ close match,Maharajganj.csv,0.95
Uttar Pradesh,Rae Bareli,⚠️ close match,Raebareli.csv,0.95
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,❌ missing district,Sant Kabir Nagar.csv,0.57
Uttar Pradesh,Shrawasti,⚠️ close match,Shravasti.csv,0.89
Uttrakhand,Garhwal,⚠️ close match,Tehri Garhwal.csv,0.70
Uttrakhand,Hardwar,⚠️ close match,Haridwar.csv,0.93
West Bengal,Barddhaman,⚠️ close match,Purba Bardhaman.csv,0.72
West Bengal,Darjiling,⚠️ close match,Darjeeling.csv,0.84
West Bengal,Haora,⚠️ close match,Howrah.csv,0.73
West Bengal,Hugli,❌ missing district,Purulia.csv,0.50
West Bengal,Koch Bihar,⚠️ close match,Cooch Behar.csv,0.76
West Bengal,Purba Mednipur,⚠️ close match,Purba Medinipur.csv,0.97
West Bengal,Puruliya,⚠️ close match,Purulia.csv,0.93
West Bengal,kolkata,⚠️ close match,Kolkata.csv,1.00
