state,district,geoname_id
Madhya Pradesh,Shahdol,1256739
Madhya Pradesh,Shajapur,1256693
Madhya Pradesh,Sheopur,1256593
Madhya Pradesh,Shivpuri,1256451
Madhya Pradesh,Sidhi,1256369
Madhya Pradesh,Singrauli,7279754
Madhya Pradesh,Tikamgarh,1254534
Madhya Pradesh,Ujjain,1253914
Madhya Pradesh,Umaria,1253863
Madhya Pradesh,Vidisha,1253200
Maharashtra,Akola,1279105
Maharashtra,Amravati,1278718
Maharashtra,Aurangabad,1278149
Maharashtra,Beed,1275539
Maharashtra,Bhandara,1276191
Maharashtra,Osmanabad,1261012
Maharashtra,Gondia,1270990
Maharashtra,Hingoli,1270072
Maharashtra,Jalgaon,1269407
Maharashtra,Jalna,1269395
Maharashtra,Kolhapur,1266285
Maharashtra,Latur,1265014
Maharashtra,Nanded,1261977
Maharashtra,Nandurbar,1261931
Maharashtra,Nagpur,1262180
Maharashtra,Nashik,1261731
Maharashtra,Palghar,1260730
Maharashtra,Parbhani,1260341
Maharashtra,Pune,1259229
Maharashtra,Ratnagiri,1258338
Maharashtra,Sangli,1257416
Maharashtra,Satara,1257055
Maharashtra,Solapur,1256436
Maharashtra,Thane,1254661
Maharashtra,Wardha,1252942
Maharashtra,Washim,1252908
Maharashtra,Yavatmal,1252770
Manipur,Bishnupur,8740324
Manipur,Churachandpur,1273909
Manipur,Kakching,1268567
Manipur,Thoubal,1254570
Mizoram,Aizawl,1279186
Mizoram,Kolasib,1266258
Mizoram,Lunglei,1264688
Mizoram,Mamit,1263983
Mizoram,Saiha,1257771
Mizoram,Serchhip,1256812
Nagaland,Dimapur,1272552
Nagaland,Kohima,1266366
Nagaland,Longleng,11184230
Nagaland,Mokokchung,1262843
Nagaland,Mon,1262824
Nagaland,Tuensang,1254133
Nagaland,Wokha,1252840
Nagaland,Zunheboto,1252653
Odisha,Angul,1278593
Odisha,Balangir,1277643
Odisha,Bargarh,1276988
Odisha,Balasore,1277599
Odisha,Cuttack,1273780
Odisha,Dhenkanal,1272780
Odisha,Ganjam,1271621
Odisha,Jajpur,1269477
Odisha,Koraput,1266128
Odisha,Nayagarh,1261580
Odisha,Puri,1259184
Odisha,Sambalpur,1257542
Odisha,Sundargarh,1255437
Punjab,Amritsar,1278710
Punjab,Barnala,1276895
Punjab,Bathinda,1276070
Punjab,Faridkot,1271949
Punjab,Hoshiarpur,1269937
Punjab,Jalandhar,1268782
Punjab,Kapurthala,1267911
Punjab,Ludhiana,1264728
Punjab,Mansa,1263622
Punjab,Moga,1262951
Punjab,Pathankot,1260137
Punjab,Patiala,1260107
Punjab,Sangrur,1257402
Punjab,Tarn Taran,1254868
Rajasthan,Ajmer,1279159
Rajasthan,Alwar,1278946
Rajasthan,Balotra,1277527
Rajasthan,Banswara,1277214
Rajasthan,Baran,1277084
Rajasthan,Barmer,1276901
Rajasthan,Beawar,1276634
Rajasthan,Bharatpur,1276128
Rajasthan,Bhilwara,1275960
Rajasthan,Bikaner,1275665
Rajasthan,Bundi,1275103
Rajasthan,Churu,1273892
Rajasthan,Dausa,1273369
Rajasthan,Dungarpur,1272201
Rajasthan,Hanumangarh,1270407
Rajasthan,Jaipur,1269515
Rajasthan,Jaisalmer,1269507
Rajasthan,Jhalawar,1269027
