state_name,matched_state,state_score,district_name,matched_district,district_score,geoname_id
Chhattisgarh,Chhattisgarh,100.0,Balrampur-Ramanujganj,Balrampur,90.0,11875517
Chhattisgarh,Chhattisgarh,100.0,Bastar,Bastar,100.0,1276739
Chhattisgarh,Chhattisgarh,100.0,Dantewada,Dantewada,100.0,9747953
Chhattisgarh,Chhattisgarh,100.0,Gaurela-Pendra-Marwahi,Gaurella Pendra Marwahi,88.88888888888889,12680247
Chhattisgarh,Chhattisgarh,100.0,Janjgir-Champa,Janjgir-Champa,100.0,7627225
Chhattisgarh,Chhattisgarh,100.0,Jashpur,Jashpur,100.0,7701599
Chhattisgarh,Chhattisgarh,100.0,Kabirdham,Kabirdham,100.0,7627230
Chhattisgarh,Chhattisgarh,100.0,Khairagarh-Chhuikhadan-Gandai,Khairgarh Chhuikhadan Gandai,91.22807017543859,12680248
Chhattisgarh,Chhattisgarh,100.0,Korea,Korea,100.0,7701598
Chhattisgarh,Chhattisgarh,100.0,Manendragarh-Chirmiri-Bharatpur,Manendragarh Chirimiri Bharatpur,92.06349206349206,12680251
Chhattisgarh,Chhattisgarh,100.0,Mohla-Manpur-Ambagarh Chowki,Mohla Manpur Ambagarh Chouki,89.28571428571429,12680252
Chhattisgarh,Chhattisgarh,100.0,Narayanpur,Narayanpur,100.0,9748023
Chhattisgarh,Chhattisgarh,100.0,Rajnandgaon,Rajnandgaon,100.0,1258832
Chhattisgarh,Chhattisgarh,100.0,Sarangarh-Bilaigarh,Sarangarh Bilaigarh,94.73684210526316,12680260
Chhattisgarh,Chhattisgarh,100.0,Sukma,Sukma,100.0,11875524
Chhattisgarh,Chhattisgarh,100.0,Surajpur,Surajpur,100.0,11875516
Chhattisgarh,Chhattisgarh,100.0,Surguja,Surguja,100.0,1255347
Goa,Goa,100.0,North Goa,North Goa,100.0,9255562
Goa,Goa,100.0,South Goa,South Goa,100.0,9255567
Gujarat,Gujarat,100.0,Aravalli,Arvalli,93.33333333333333,11875529
Gujarat,Gujarat,100.0,Banaskantha,Banaskantha,100.0,1277417
Gujarat,Gujarat,100.0,Chhota Udaipur,,0.0,
Gujarat,Gujarat,100.0,Dahod,Dahod,100.0,7627226
Gujarat,Gujarat,100.0,Dang,Dang,100.0,1254616
Gujarat,Gujarat,100.0,Devbhumi Dwarka,Devbhumi Dwarka,100.0,11875527
